state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence,extraction_confidence_note,normalization_confidence,match_confidence,overall_confidence,input_mode,source_file,filename,flag
TX,Austin Chronicle,,2012,TX,TAX,1,CENTRAL HEALTH TAX RATIFICATION; FIVE-CENT HIKE TO 12.9 CENTS PER $100 VALUATION,1,SELF-ASSESSMENT IS IMPORTANT AND TIMELY STEP TO FILL HEALTHCARE GAP FOR AUSTIN RESIDENTS,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,AMENDMENT,2,"AUSTIN CITY CHARTER AMENDMENT; ADJUST COUNCIL MEMBER TERMS TO FOUR YEARS, STAGGER ELECTIONS, COINCIDE WITH NATIONAL ELECTIONS",1,COMPONENT OF MOVING ELECTIONS TO NOVEMBER WITH PROPS. 1 AND 4,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,AMENDMENT,3,AUSTIN CITY CHARTER AMENDMENT; REPLACE AT-LARGE COUNCIL VOTING WITH 10 GEOGRAPHIC DISTRICTS PLUS MAYOR,0,REDISTRICTING WITHOUT BROAD SUPPORT COULD BE IMPOSED BY SINGLE BALLOT PHRASE; LACKS PUBLIC VETTING AND DEBATE; MIXED OR HYBRID SYSTEM BETTER,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,AMENDMENT,4,"AUSTIN CITY CHARTER AMENDMENT; REPLACE AT-LARGE SYSTEM WITH EIGHT DISTRICTS, TWO AT-LARGE PLACES, AND MAYOR",1,BETTER SERVES BROAD PUBLIC INTEREST; MORE ACCEPTABLE TO MAJORITY OF AUSTIN VOTERS; FAMILIAR US PATTERN; BALANCES LOCALIZED AND CITYWIDE INTERESTS,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,AMENDMENT,5,AUSTIN CITY CHARTER AMENDMENT; ENABLE COUNCIL MEMBERS TO HIRE AND MANAGE THEIR OWN STAFFS,1,MAKES FORMAL AND OFFICIAL THE DE FACTO SITUATION; SENSIBLE CHANGE,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,AMENDMENT,6,AUSTIN CITY CHARTER AMENDMENT; MOVE HIRING AND REPORTING OF CITY ATTORNEY FROM CITY MANAGER TO CITY COUNCIL,1,DISPERSES MANAGER'S INFLUENCE ON ATTORNEY; ADDS INDEPENDENCE AND CLARITY TO ATTORNEY'S ROLE,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,AMENDMENT,7,AUSTIN CITY CHARTER AMENDMENT; REDUCE PETITION SIGNATURES REQUIRED TO FORCE PUBLIC VOTE ON ORDINANCE CHANGES,1,LESS ARBITRARY TINKERING WITH CHARTER; ALLOWS DULY ELECTED COUNCILS TO REVISE ORDINANCE CHANGES AS NEEDED,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,AMENDMENT,8,AUSTIN CITY CHARTER AMENDMENT; CREATE 30-DAY PERIOD AFTER ELECTION FOR COUNCIL MEMBER TO RAISE FUNDS TO RETIRE CAMPAIGN DEBT,,EDITORIAL BOARD SPLIT; DETRACTORS NOTE LACK OF OTHER CAMPAIGN FINANCE RESTRICTIONS; LACKS TRANSPARENCY; SPECIAL INTEREST MONEY AVOIDANCE CONCERN,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,Missing endorsed
TX,Austin Chronicle,,2012,TX,AMENDMENT,9,AUSTIN CITY CHARTER AMENDMENT; ALLOW CITY LEASE OF PARKLAND TO SCHOOL DISTRICT FOR SCHOOL PURPOSE,1,NARROWLY DEFINED AND REQUIRES TWO-THIRDS VOTE OF COUNCIL; RESPONSE TO STATE CUTS TO PUBLIC EDUCATION,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,BOND,10,AUSTIN CITY BOND PACKAGE; CIVIL SERVICE PROTECTIONS FOR CITY EMPLOYEES AND EMS PERSONNEL,1,COUNCIL-APPOINTED COMMISSION TO REVIEW MANAGEMENT DECISIONS WHERE THERE IS DISPUTE; MODEST BUT IMPORTANT IMPROVEMENT IN RIGHTS OF CITY WORKERS,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,BOND,11,AUSTIN CITY BOND PACKAGE; EMERGENCY MEDICAL SERVICES PERSONNEL PROTECTIONS,1,EXTENDS CIVIL SERVICE PROTECTIONS TO EMS PERSONNEL NOT CURRENTLY COVERED BY PUBLIC SAFETY EMPLOYEE PROTECTIONS,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,BOND,12,"AUSTIN CITY BOND PACKAGE; TRANSPORTATION AND MOBILITY; $8 MILLION FOR ARTERIAL CONGESTION AND CRASH-RISK MITIGATION, $15 MILLION FOR I-35, $25 MILLION FOR SIDEWALKS AND RAMPS",1,ADDRESSES AUSTIN'S BIGGEST TRANSPORTATION PROBLEMS OF BOTTLENECKS AND HIGH ACCIDENT RATES; BUMP IN SIDEWALK FUNDING GOOD,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,BOND,13,AUSTIN CITY BOND PACKAGE; OPEN SPACE AND WATERSHED PROTECTION; $57 MILLION FOR ACQUIRING ENVIRONMENTALLY SENSITIVE LANDS,1,GOOD CHUNK OF CHANGE TO INVEST TOWARD ACQUIRING ENVIRONMENTALLY SENSITIVE LANDS FOR AQUIFER WATER QUALITY PROTECTION,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,BOND,14,AUSTIN CITY BOND PACKAGE; PARKS AND RECREATION,1,SUPPORT WITH STRONG ENCOURAGEMENT TO INCLUDE REPAIRS AND MAINTENANCE IN FUTURE PARKS BUDGETS; $2 MILLION FOR CEMETERY IMPROVEMENTS WELCOME,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,BOND,15,AUSTIN CITY BOND PACKAGE; HOUSING; AFFORDABLE HOUSING AND HOME-REPAIR PROGRAM FOR SENIORS,1,SUCCESS OF 2006 HOUSING BOND PROGRAM THANKS TO AUSTIN'S SAVVY HOUSING PROFESSIONALS; HELPS WITH DOWNTOWN HOUSING DEVELOPMENT AND HOME-REPAIR FOR SENIORS,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,BOND,16,"AUSTIN CITY BOND PACKAGE; PUBLIC SAFETY; POLICE SUBSTATION, FIRE STATION, AND AMBULANCE BAY EXPANSIONS",1,"NUTS-AND-BOLTS PLAN HELPS COVER COSTS OF NEW POLICE SUBSTATION IN NORTHWEST AUSTIN, FIRE STATIONS, AND EMS EXPANSIONS",1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,BOND,17,AUSTIN CITY BOND PACKAGE; HEALTH AND HUMAN SERVICES,1,MOST EVERY IMPROVEMENT PROJECT ON HHS LIST EVIDENCED BY GROWING DEMANDS PLACED ON CITY'S HEALTH AND HUMAN SERVICES DEPARTMENT,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
TX,Austin Chronicle,,2012,TX,BOND,18,"AUSTIN CITY BOND PACKAGE; LIBRARY, MUSEUM, AND CULTURAL ARTS FACILITIES; AUSTIN HISTORY CENTER, LIBRARY IMPROVEMENTS, AUSTIN FILM SOCIETY, DOUGHTERTY ARTS CENTER REPLACEMENT",1,WORTHY INVESTMENTS IN AUSTIN'S CULTURAL ARTS INCLUDING AUSTIN HISTORY CENTER AND NEIGHBORHOOD LIBRARY IMPROVEMENTS,1.0,,,,,pdf,,AUSTINCHRONICLE_20121106,
