state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
AL,Birmingham Age Herald,100102,1890,H,9,,AL,"BANKHEAD, JOHN H.",Democrat,1,1,,,ENDORSEMENT FOR CONGRESSIONAL ELECTION. PAPER EXPLICITLY ENDORSES COLONEL BANKHEAD FOR CONGRESS AND URGES DEMOCRATIC VOTERS TO CAST VOTES FOR HIM.,0.8
AL,Birmingham Age Herald,100102,1900,H,9,,AL,"UNDERWOOD, OSCAR",Democrat,1,1,,,ENDORSEMENT FOR RE-ELECTION. PAPER URGES VOTERS TO SUPPORT INCUMBENT CONGRESSMAN TO ENSURE STRONG REPRESENTATION. MENTIONS HIS INFLUENCE IN HOUSE AND IMPORTANCE TO DISTRICT.,0.85
AL,Birmingham Age Herald,100102,1910,GOVERNOR,,,AL,"O'NEAL, EMMET",Democrat,1,,,,STRAIGHT TICKET ENDORSEMENT. PAPER ENDORSES DEMOCRATIC TICKET INCLUDING GOVERNOR CANDIDATE. EMPHASIZES DUTY OF DEMOCRATS TO VOTE.,0.9
AL,Birmingham Age Herald,100102,1910,H,9,,AL,"UNDERWOOD, OSCAR",Democrat,1,1,,,STRAIGHT TICKET ENDORSEMENT. PAPER ENDORSES ENTIRE DEMOCRATIC TICKET INCLUDING CONGRESSIONAL CANDIDATE.,0.9
AL,Birmingham Age Herald,100102,1920,PRESIDENT,,,AL,"COX, JAMES M.",Democrat,1,,,,ENDORSES COX AND LEAGUE OF NATIONS; DRIFT TO COX IS ANSWER OF AMERICAN CONSCIENCE; DEMOCRATIC PARTY PLEDGED TO CARRY ON WORK OF WILSON; RIGHTEOUS CAUSE DESERVES TO WIN,0.85
AL,Birmingham Age Herald,100102,1930,GOVERNOR,,,AL,"MILLER, B. M.",Democrat,1,,,,PRIME NECESSITY OF CHOOSING A FIT AND QUALIFIED MAN TO BE GOVERNOR; SUCH A MAN AS JUDGE B M MILLER,0.9
AL,Birmingham Age Herald,100102,1930,SENATOR,,,AL,"BANKHEAD, JOHN H.",Democrat,1,,,,THE ISSUES OF THE HOUR DEMAND BANKHEAD'S ELECTION; MAN OF CALM DELIBERATE JUDGMENT FINE DIGNITY TOLERANCE; EMINENT QUALIFICATIONS FOR STATESMANSHIP; STATESMANLY STATURE,0.95
AL,Birmingham Age Herald,100102,1932,PRESIDENT,,,AL,"ROOSEVELT, FRANKLIN D.",Democrat,1,,,,EVERY DEMOCRAT IN THE STATE SHOULD GO TO THE POLLS AND DO HIS PART IN MAKING IT A LANDSLIDE FOR ROOSEVELT AND GARNER,0.85
AL,Birmingham Age Herald,100102,1936,PRESIDENT,,,AL,"ROOSEVELT, FRANKLIN D.",Democrat,1,1,,,WHY THIS NEWSPAPER PICKS MR ROOSEVELT; CAPACITY FOR SYMPATHETIC APPRECIATION ON A NATION-WIDE SCALE; EAGERNESS TO HELP,0.9
AL,Birmingham Age Herald,100102,1940,PRESIDENT,,,AL,"ROOSEVELT, FRANKLIN D.",Democrat,1,1,,,PRESIDENT ROOSEVELT IN OUR OPINION IS BY FAR THE MOST CAPABLE MAN; EXTRAORDINARILY EQUIPPED TO MEET EXTRAORDINARY DEMANDS OF PRESIDENCY; COUNTRY FORTUNATE TO HAVE ROOSEVELT AT THIS PARTICULAR TIME; SECOND EDITORIAL WILLKIE AND THE SOUTH ARGUES AGAINST WILLKIE,0.95
