state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Corpus Christi Caller-Times,145000,1952,PRESIDENT,,,TX,"EISENHOWER, DWIGHT",Republican,1,,,,Time for Change; we endorsed Gen. Eisenhower for the nation's highest office; basic belief is that the thing most needed is a complete change of leadership; Eisenhower and his supporters are in better position to provide the fresh approach needed,0.95
TX,Corpus Christi Caller-Times,145000,1952,PRESIDENT,,,TX,"STEVENSON, ADLAI",Democrat,0,,,,"Stevenson, regardless of his leadership potentialities, is burdened by the mistakes of the New Deal and Fair Deal; less likely to admit and correct than a completely fresh administration",0.95
TX,Corpus Christi Caller-Times,145000,1962,GOVERNOR,,,TX,"CONNALLY, JOHN",Democrat,1,,,,"Leadership editorial; Texas needs a governor who can exercise a unifying and constructive influence on the legislature; only the Democratic candidate, John Connally, can offer the necessary leadership and direction to Texas state government",0.95
TX,Corpus Christi Caller-Times,145000,1966,SENATOR,,,TX,"CARR, WAGGONER",Democrat,1,,,,"AP wire story listing newspaper endorsements - Corpus Christi Caller and Times among 28 dailies endorsing Carr (D); also listed: Caller and Times, Corpus Christi",0.85
TX,Corpus Christi Caller-Times,145000,1970,STATE REP,,,TX,"FARENTHOLD, FRANCES",,1,,,,"Hard Worker editorial; endorsed for reelection Nov 3 for hard work for Corpus Christi and Texas, including censure of Land Commissioner Sadler and Antiquities Act passage",0.95
TX,Corpus Christi Caller-Times,145000,1972,GOVERNOR,,,TX,"BRISCOE, DOLPH",Democrat,1,,,,"Did not have support in Democratic primary, but is choice of voters to carry Democratic banner Nov 7; we commend his candidacy to our readers - the only candidate for the office who could be an effective chief executive",0.95
TX,Corpus Christi Caller-Times,145000,1976,H,14,,TX,"YOUNG, JOHN",Democrat,1,,,,Served us ably in Congress for 10 terms; through seniority and ability has amassed considerable influence and expertise; we recommend his reelection strongly,0.95
TX,Corpus Christi Caller-Times,145000,1976,PRESIDENT,,,TX,"CARTER, JIMMY",Democrat,1,,,,"Nation needs a fresh and active leader, a person with ideas and vigor; we believe the nation can find such a man",0.95
TX,Corpus Christi Caller-Times,145000,1976,RAILROAD COMMISSION,,,TX,"NEWTON, JON",Democrat,1,,,,"From Beeville, can speed this process along; able state legislator and is an expert in energy affairs",0.95
TX,Corpus Christi Caller-Times,145000,1976,SENATOR,,,TX,"BENTSEN, LLOYD",Democrat,1,,,,Has served Texas and the nation with distinction during his first term in office; we believe he has earned another six years in the job,0.95
TX,Corpus Christi Caller-Times,145000,1976,STATE REP,48A,,TX,"GONZALES, ARNOLD",Democrat,1,,,,Has both the enthusiasm and intelligence to make his district an able representative in Austin,0.95
TX,Corpus Christi Caller-Times,145000,1976,STATE REP,48C,,TX,"HALE, DEWITT",Democrat,1,,,,"In DeWitt Hale, this district has one of the most knowledgeable and influential members of the Texas Legislature; makes the retention of Hale in Austin even more imperative",0.95
TX,Corpus Christi Caller-Times,145000,1976,STATE SENATOR,20,,TX,"TRUAN, CARLOS",Democrat,1,,,,"Times believes Carlos Truan is clearly the best choice in this race, both by virtue of experience and ability",0.95
TX,Corpus Christi Caller-Times,145000,1976,TX SUPREME COURT,,,TX,"LORANCE, TOM",,1,,,,Experienced Houston attorney recommended as write-in candidate over Don Yarbrough; of the utmost importance the voter ponder the qualifications,0.90
