state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
TX,Austin American-Statesman,144700,2010,TX,BALLOT MEASURE,,"AUSTIN COMMUNITY COLLEGE ANNEXATION - SUPPORT ANNEXING SAN MARCOS, HAYS, BASTROP, ELGIN AND MCDADE SCHOOL DISTRICTS INTO ACC'S TAXING AREA",YES,,1.0
TX,Austin American-Statesman,144700,2012,TX,TAX,1,CENTRAL HEALTH PROPOSITION 1 - PROPERTY TAX INCREASE TO FUND MEDICAL SCHOOL,YES,,1.0
TX,Austin American-Statesman,144700,2012,TX,BALLOT MEASURE,2,AUSTIN CITY CHARTER - MOVING ELECTIONS AND CHANGING COUNCIL TERMS OF OFFICE,NO,,1.0
TX,Austin American-Statesman,144700,2012,TX,BALLOT MEASURE,3,AUSTIN CITY CHARTER - 10-1 DISTRICT PLAN,YES,,1.0
TX,Austin American-Statesman,144700,2012,TX,BALLOT MEASURE,4,AUSTIN CITY CHARTER - 8-2-1 DISTRICT PLAN,NO,,1.0
TX,Austin American-Statesman,144700,2012,TX,BALLOT MEASURE,5,AUSTIN CITY CHARTER - LET CITY COUNCIL HIRE OWN STAFF,NO,,1.0
TX,Austin American-Statesman,144700,2012,TX,BALLOT MEASURE,6,AUSTIN CITY CHARTER - LET CITY COUNCIL HIRE CITY ATTORNEY,NO,,1.0
TX,Austin American-Statesman,144700,2012,TX,BALLOT MEASURE,7,AUSTIN CITY CHARTER - REDUCE NUMBER OF SIGNATURES FOR REFERENDUM,NO,,1.0
TX,Austin American-Statesman,144700,2012,TX,BALLOT MEASURE,8,AUSTIN CITY CHARTER - LET COUNCIL MEMBERS RAISE MONEY FOR 30 DAYS AFTER ELECTION,NO,,1.0
TX,Austin American-Statesman,144700,2012,TX,BALLOT MEASURE,9,AUSTIN CITY CHARTER - LEASING PARKLAND TO SCHOOLS,YES,,1.0
TX,Austin American-Statesman,144700,2012,TX,BALLOT MEASURE,10,AUSTIN CITY CHARTER - CIVIL SERVICE SYSTEM FOR CITY EMPLOYEES,NO,,1.0
TX,Austin American-Statesman,144700,2012,TX,BALLOT MEASURE,11,AUSTIN CITY CHARTER - ADOPT CIVIL SERVICE LAW FOR EMS PERSONNEL,NO,,1.0
TX,Austin American-Statesman,144700,2012,TX,BOND,12,AUSTIN BOND - ROADS AND SIDEWALKS,YES,,1.0
TX,Austin American-Statesman,144700,2012,TX,BOND,13,AUSTIN BOND - LAND ACQUISITION TO PROTECT EDWARDS AQUIFER,YES,,1.0
TX,Austin American-Statesman,144700,2012,TX,BOND,14,AUSTIN BOND - PARKS AND RECREATION IMPROVEMENTS,YES,,1.0
TX,Austin American-Statesman,144700,2012,TX,BOND,15,AUSTIN BOND - LOW-INCOME HOUSING,YES,,1.0
TX,Austin American-Statesman,144700,2012,TX,BOND,16,AUSTIN BOND - PUBLIC SAFETY FACILITIES,YES,,1.0
TX,Austin American-Statesman,144700,2012,TX,BOND,17,AUSTIN BOND - SOCIAL SERVICE BUILDING IMPROVEMENTS,YES,,1.0
TX,Austin American-Statesman,144700,2012,TX,BOND,18,AUSTIN BOND - LIBRARIES AND AUSTIN STUDIOS,YES,,1.0
TX,Austin American-Statesman,144700,2014,TX,AMENDMENT,,PROPOSED STATE CONSTITUTIONAL AMENDMENT - HIGHWAY FUNDING,YES,,1.0
TX,Austin American-Statesman,144700,2014,TX,BALLOT MEASURE,1,AUSTIN COMMUNITY COLLEGE PROPOSITION 1,YES,,1.0
TX,Austin American-Statesman,144700,2014,TX,BALLOT MEASURE,2,AUSTIN COMMUNITY COLLEGE PROPOSITION 2,YES,,1.0
