state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TN,Chattanooga News-Free Press,143901,1940,PRESIDENT,,,TN,"WILLKIE, WENDELL",Republican,1,,,,'A VOTE FOR WENDELL WILLKIE IS A VOTE FOR THE CONTINUATION OF THE PRESENT FORM OF GOVERNMENT'.,0.95
TN,Chattanooga News-Free Press,143901,1940,PRESIDENT,,,TN,"ROOSEVELT, FRANKLIN D.",Democrat,0,1,,,STRONGLY OPPOSED; 'A VOTE FOR FRANKLIN D. ROOSEVELT IS A VOTE FOR SOME MODIFIED AMERICAN TYPE OF TOTALITARIAN GOVERNMENT'; THIRD-TERM CRITIQUE.,0.95
TN,Chattanooga News-Free Press,143901,1940,VICE PRESIDENT,,,TN,"WALLACE, HENRY",Democrat,0,,,,OPPOSED; CALLED 'ONE OF THE MOST EXTREME OF THE RADICALS'; QUOTES FROM WALLACE'S BOOK 'WHOSE CONSTITUTION?' DESCRIBED AS COMMUNIST-SYMPATHETIC.,0.85
TN,Chattanooga News-Free Press,143901,1944,PRESIDENT,,,TN,"DEWEY, THOMAS E.",Republican,1,,,,'TOM DEWEY HAS MADE ONE OF THE MOST BRILLIANT CAMPAIGNS IN THE HISTORY OF AMERICAN POLITICS'; PAPER ARGUES DEWEY MORE QUALIFIED THAN FDR.,0.95
TN,Chattanooga News-Free Press,143901,1944,PRESIDENT,,,TN,"ROOSEVELT, FRANKLIN D.",Democrat,0,1,,,STRONGLY OPPOSED; 'FRANKLIN D. ROOSEVELT AT THE TOP DESERVES A CRUSHING VOTE OF CONDEMNATION'.,0.95
TN,Chattanooga News-Free Press,143901,1944,H,3,,TN,"KEFAUVER, ESTES",Democrat,0,1,,,OPPOSED INCUMBENT; 'DESERVES DEFEAT BECAUSE OF HIS WILLINGNESS TO DO THE BIDDING OF THIS POLITICAL ORGANIZATION WHICH KNOWS NO ETHICS'.,0.92
TN,Chattanooga News-Free Press,143901,1944,H,3,,TN,"JOHNSON, FOSTER",Independent,1,,,,'THERE SHOULD BE THOUSANDS OF VOTES CAST FOR FOSTER JOHNSON AND FORSTNER IN PROTEST AGAINST THE SINISTER BEHIND-THE-SCENES NEW DEAL SITUATION'.,0.85
TN,Chattanooga News-Free Press,143901,1944,H,3,,TN,"FORSTNER, ERNEST W.",Republican,1,,,,"'HE'S HONEST, SINCERE, AND STANDS FOR THE RIGHT THING'; ENDORSED ALONGSIDE FOSTER JOHNSON AS PROTEST AGAINST KEFAUVER.",0.85
TN,Chattanooga News-Free Press,143901,1948,PRESIDENT,,,TN,"DEWEY, THOMAS E.",Republican,1,,,,'THE PEOPLE OF AMERICA SHOULD ELECT GOV. THOMAS E. DEWEY PRESIDENT TOMORROW... BECAUSE HE IS BY FAR THE BEST QUALIFIED MAN'.,0.95
TN,Chattanooga News-Free Press,143901,1948,PRESIDENT,,,TN,"TRUMAN, HARRY S.",Democrat,0,1,,,"OPPOSED; 'BLUNDERS, HIS INABILITY TO PUT WHAT IS RIGHT AHEAD OF WHAT HE THINKS IS EXPEDIENT, HIS WEAKNESS FOR BAD ADVICE'; QUOTES TRUMAN ADMITTING HE WAS 'NOT BIG ENOUGH TO BE PRESIDENT'.",0.95
TN,Chattanooga News-Free Press,143901,1948,SENATOR,,,TN,"REECE, B. CARROLL",Republican,1,,,,'TENNESSEE DEMOCRATS... SHOULD HELP REPUBLICANS AND INDEPENDENTS ELECT CARROLL REECE TO THE UNITED STATES SENATE'.,0.95
TN,Chattanooga News-Free Press,143901,1948,STATE REP,,,TN,"CHAMBLISS, JOHN A.",Democrat,1,,,,'AN OUTSTANDING LAWYER AND A PUBLIC-SPIRITED CITIZEN OF THE HIGHEST REPUTE'; ONLY GOOD GOVERNMENT LEAGUE NOMINEE TO SURVIVE PRIMARY.,0.92
