state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Dallas Morning News,145050,2012,PRESIDENT,,,TX,"ROMNEY, MITT",Republican,1,,,,"Opposed Obama (D), Johnson (L), Stein (G)",0.98
TX,Dallas Morning News,145050,2012,SENATOR,,,TX,"SADLER, PAUL",Democrat,1,,,,"Opposed Cruz (R), Myers (L), Collins (G)",0.98
TX,Dallas Morning News,145050,2012,H,4,,TX,"HALL, RALPH",Republican,1,1,,,16-term incumbent,0.97
TX,Dallas Morning News,145050,2012,H,5,,TX,"HENSARLING, JEB",Republican,1,,1,,,0.97
TX,Dallas Morning News,145050,2012,H,6,,TX,"BARTON, JOE",Republican,1,,1,,,0.97
TX,Dallas Morning News,145050,2012,H,24,,TX,"MARCHANT, KENNY",Republican,1,,1,,,0.97
TX,Dallas Morning News,145050,2012,H,26,,TX,"BURGESS, MICHAEL",Republican,1,,1,,,0.97
TX,Dallas Morning News,145050,2012,H,30,,TX,"JOHNSON, EDDIE BERNICE",Democrat,1,1,,,,0.97
TX,Dallas Morning News,145050,2012,H,32,,TX,"SESSIONS, PETE",Republican,1,,1,,,0.97
TX,Dallas Morning News,145050,2012,H,33,,TX,"VEASEY, MARC",Democrat,1,,,,new district,0.97
TX,Dallas Morning News,145050,2012,COURT OF CRIMINAL APPEALS,,,TX,"HAMPTON, KEITH",Democrat,1,,,,Presiding Judge; opposed Sharon Keller (R),0.97
TX,Dallas Morning News,145050,2012,TX SUPREME COURT,Place 6,,TX,"HECHT, NATHAN",Republican,1,,1,,Place 6,0.97
TX,Dallas Morning News,145050,2012,RAILROAD COMMISSION,,,TX,"CRADDICK, CHRISTI",Republican,1,,,,,0.97
TX,Dallas Morning News,145050,2016,PRESIDENT,,,TX,"CLINTON, HILLARY",Democrat,1,,,,First Democratic presidential endorsement by DMN since before WWII; opposed Trump (R),0.99
TX,Dallas Morning News,145050,2018,SENATOR,,,TX,"O'ROURKE, BETO",Democrat,1,,,,"Opposed Cruz (R), Dikeman (L)",0.98
TX,Dallas Morning News,145050,2018,H,3,,TX,"TAYLOR, VAN",Republican,1,,,,Succeeding Sam Johnson,0.97
TX,Dallas Morning News,145050,2018,H,4,,TX,"RATCLIFFE, JOHN",Republican,1,,1,,,0.97
TX,Dallas Morning News,145050,2018,H,5,,TX,"GOODEN, LANCE",Republican,1,,,,Replacing retiring Hensarling,0.97
TX,Dallas Morning News,145050,2018,H,6,,TX,"SANCHEZ, JANA LYNNE",Democrat,1,,,,"Opposed Ron Wright (R), Jason Harber",0.95
TX,Dallas Morning News,145050,2018,H,12,,TX,"GRANGER, KAY",Republican,1,,1,,,0.97
TX,Dallas Morning News,145050,2018,H,24,,TX,"MARCHANT, KENNY",Republican,1,,1,,,0.97
TX,Dallas Morning News,145050,2018,H,26,,TX,"BURGESS, MICHAEL",Republican,1,,1,,,0.97
TX,Dallas Morning News,145050,2018,H,32,,TX,"SESSIONS, PETE",Republican,1,,1,,"Opposed Allred (D), Baker",0.95
TX,Dallas Morning News,145050,2018,H,33,,TX,"VEASEY, MARC",Democrat,1,1,,,,0.97
