state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,1,rejected proposition,0,T-A recommended No; voters agreed,0.85
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,2,rejected proposition,0,T-A recommended No,0.85
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,3,court system revision,0,T-A opposed,0.9
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,4,broadening voter eligibility,1,everybody in step,0.9
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,5,approving pay for legislators,1,T-A supported,0.85
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,6,reduction of gambling measure,0,T-A joined in defeating,0.85
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,7,blind chiropractors,1,T-A lost a close one (favored measure),0.7
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,8,banning payroll padding by city officials,0,T-A opposed,0.85
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,9,fair board employees civil service,1,T-A supported,0.85
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,10,public housing local vote requirement,1,T-A favored vote being required,0.85
CA,Escondido Times-Advocate,101700,1950,CA,AMENDMENT,11,land title procedure change,1,T-A supported initiated change,0.85
CA,Escondido Times-Advocate,101700,1950,CA,PUBLIC QUESTION,A,separate office for county registrar of voters,1,San Diego County measure,0.8
CA,Escondido Times-Advocate,101700,1950,CA,PUBLIC QUESTION,B,civil service for sheriff deputies,1,San Diego County measure; T-A thought good,0.85
CA,Escondido Times-Advocate,101700,1950,CA,BOND,C,"$875,000 juvenile hall bond",0,T-A opposed; voters rejected,0.9
CA,Escondido Times-Advocate,101700,1970,CA,AMENDMENT,9,tax savings via constitutionally required elections,1,Four propositions editorial,0.9
CA,Escondido Times-Advocate,101700,1970,CA,AMENDMENT,10,prohibits interest rates higher than 10 percent on loans by regulated lending institutions,0,Four propositions editorial; rejects measure,0.9
CA,Escondido Times-Advocate,101700,1970,CA,AMENDMENT,11,upgrade professionalism of chiropractors,1,Four propositions editorial,0.9
CA,Escondido Times-Advocate,101700,1970,CA,AMENDMENT,12,allow boards of supervisors in noncharter counties to set their own salaries subject to voter approval,1,Four propositions editorial,0.9
CA,Escondido Times-Advocate,101700,1970,CA,AMENDMENT,13,increased property tax exemption for totally disabled veterans,0,End of the list editorial; opposed as discriminatory,0.9
CA,Escondido Times-Advocate,101700,1970,CA,AMENDMENT,14,nonpartisan property tax measure,1,End of the list editorial; endorsed by Reagan and Unruh,0.9
CA,Escondido Times-Advocate,101700,1970,CA,AMENDMENT,15,nonpartisan property tax measure,1,End of the list editorial,0.9
CA,Escondido Times-Advocate,101700,1970,CA,AMENDMENT,16,nonpartisan property tax measure,1,End of the list editorial,0.9
CA,Escondido Times-Advocate,101700,1970,CA,AMENDMENT,17,nonpartisan property tax measure,1,End of the list editorial,0.9
CA,Escondido Times-Advocate,101700,1970,CA,AMENDMENT,18,permit gas tax revenues to be used for transit and pollution control,1,Pass Prop. 18 editorial,0.95
CA,Escondido Times-Advocate,101700,1970,CA,BOND,20,"$60 million bond measure for recreational facilities, fish and wildlife enhancement, fishing access",0,End of the list editorial; opposed as outdoor recreational pork,0.9
CA,Escondido Times-Advocate,101700,1972,CA,AMENDMENT,1,state proposition,1,T-A ballot YES,0.9
CA,Escondido Times-Advocate,101700,1972,CA,AMENDMENT,2,state proposition,1,T-A ballot YES,0.9
CA,Escondido Times-Advocate,101700,1972,CA,AMENDMENT,3,state proposition,1,T-A ballot YES,0.9
CA,Escondido Times-Advocate,101700,1972,CA,AMENDMENT,4,state proposition,1,T-A ballot YES,0.9
CA,Escondido Times-Advocate,101700,1972,CA,AMENDMENT,5,state proposition,1,T-A ballot YES,0.9
CA,Escondido Times-Advocate,101700,1972,CA,AMENDMENT,6,state proposition,1,T-A ballot YES,0.9
CA,Escondido Times-Advocate,101700,1972,CA,AMENDMENT,7,state proposition,1,T-A ballot YES,0.9
CA,Escondido Times-Advocate,101700,1972,CA,AMENDMENT,8,state proposition,0,T-A ballot NO,0.9
CA,Escondido Times-Advocate,101700,1972,CA,AMENDMENT,9,state proposition,1,T-A ballot YES,0.9
CA,Escondido Times-Advocate,101700,1972,CA,AMENDMENT,10,state proposition,1,T-A ballot YES,0.9
